table,date,year-month,year,month,day,account,type,subtype,item,is_total,today,mtd,fytd,footnote
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Commodity Credit Corporation programs,0,30,99,12559,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Defense Vendor Payments EFT,0,1501,3931,124474,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Education Department programs,0,965,2947,79054,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Energy Department programs,0,73,299,12028,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Federal Employees Insurance Payments,0,235,624,24185,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Fed Highway Administration programs,0,64,432,14608,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Federal Salaries EFT,0,697,5701,62643,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Food and Nutrition Service misc,0,316,1170,36646,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,GSA programs,0,29,575,7176,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Health and Human Services Grants misc,0,364,1030,33182,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Housing and Urban Development programs,0,238,3177,29288,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Interest on Treasury Securities,0,1,148,69104,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,IRS Tax Refunds Business EFT,0,35,513,9140,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,IRS Tax Refunds Individual EFT,0,3485,9974,16281,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Justice Department programs,0,109,231,5657,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Labor Dept prgms excl unemployment,0,36,139,4949,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Medicaid,0,1068,2451,88291,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Medicare,0,1262,20549,210208,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,NASA programs,0,78,283,5878,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Postal Service Money Orders and Other,0,210,595,13991,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Public Debt Cash Redemp Table III B,0,3553,11118,2551008,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Social Security Benefits EFT,0,19,24127,255705,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Supple Nutrition Assist Program SNAP,0,8,32,1421,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Temporary Assistance for Needy Families HHS,0,56,189,6397,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Transportation Security Admin DHS,0,2,3,312,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Unemployment Insurance Benefits,0,515,939,26297,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Veterans Affairs programs,0,144,696,16124,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Agency for Internat l Development,0,52,113,4438,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Agriculture,0,147,240,4666,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Federal Crop Ins Corp,0,131,408,13137,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Federal Financing Bank,0,345,398,2927,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Thrift Savings Plan Transfer,0,740,1494,14134,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Unclassified,0,1358,3607,94695,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,Other Withdrawals,Total Other Withdrawals,1,2773,28809,290869,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Transfers to Depositaries,0,0,0,0,
,2013-02-05,2013-02,2013,2,Tuesday,Federal Reserve Account,withdrawal,,Total Federal Reserve Account,1,17869,120781,4007477,
,2013-02-05,2013-02,2013,2,Tuesday,Short Term Cash Investments,withdrawal,,Transfers to Federal Reserve Account Table V,0,0,0,0,
,2013-02-05,2013-02,2013,2,Tuesday,,withdrawal,,Total Withdrawals excluding transfers,1,17869,120781,4007477,
,2013-02-05,2013-02,2013,2,Tuesday,,withdrawal,,Net Change in Operating Cash Balance,0,-9415,-69523,-34722,
