table,date,year-month,year,month,day,surtype,type,subtype,item,is_total,today,mtd,fytd,footnote
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Public Debt Issues Table III A,0,226504,672344,22614382,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Premium on New Issues,0,0,0,3789,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,Discount on New Issues,Bills,0,0,0,689,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,Discount on New Issues,Bonds and Notes,0,0,0,3659,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Federal Financing Bank,0,0,0,0,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Government Account Transactions,0,223073,667095,19705930,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Hope Bonds,0,0,0,0,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Interest Increment on United States Savings Securities,0,1,487,2542,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Inflation Protected Securities Increment,0,-81,-455,3247,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Issues,,Total Public Debt Cash Issues Deposited in Federal Reserve Account,1,3512,5218,2902103,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Redemptions,,Public Debt Redemptions Table III A,0,220642,625225,22199713,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Redemptions,,Premium on Debt Buyback Operation,0,0,0,0,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Redemptions,,Discount on Debt Buyback Operation,0,0,0,0,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Redemptions,,Government Account Transactions,0,217089,614107,19648704,
TABLE III-B Adjustment of Public Debt Transactions to Cash Basis,2013-02-05,2013-02,2013,2,Tuesday,,Public Debt Cash Redemptions,,Total Public Debt Cash Redemptions Withdrawn from Federal Reserve Acct,1,3553,11118,2551008,
