table,date,year-month,year,month,day,type,classification,is_total,today,mtd,fytd,footnote
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Withheld Income and Employment Taxes,0,2487,39391,689997,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Individual Income Taxes,0,40,111,7832,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Railroad Retirement Taxes,0,1,114,1710,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Excise Taxes,0,36,64,25342,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Corporation Income Taxes,0,25,1084,84299,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Federal Unemployment Taxes,0,63,182,3739,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Estate and Gift Taxes Misc IRS Rcpts,0,3,6,139,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Total,1,2654,40953,813058,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,Cash Federal Tax Deposits,Direct,0,315,463,11428,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,Cash Federal Tax Deposits,Through Depositaries,0,2087,37796,771436,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,Cash Federal Tax Deposits,Total Cash FTD s,1,2402,38259,782864,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Inter agency Transfers,0,252,2694,30195,
TABLE IV Federal Tax Deposits,2013-02-05,2013-02,2013,2,Tuesday,,Total,1,2654,40953,813058,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,,Opening Balance Today,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Deposits,Transfers to Depositaries,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Deposits,Special Direct Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Deposits,Term Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Deposits,Repo Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Withdrawals,Treasury Initiated,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Withdrawals,Depositary Initiated,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Withdrawals,Special Direct Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Withdrawals,Term Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,Withdrawals,Repo Investment,0,0,0,0,
TABLE V Short-Term Cash Investments,2013-02-05,2013-02,2013,2,Tuesday,,Closing Balance Today,0,0,0,0,
