table,item_name,url,description
t2,African Development Fund,http://www.adf.gov/,This is the U.S. agency that provides aid to Africa.
t2,Agency for International Development,http://www.usaid.gov/,This is the U.S. agency that grants assistance to foreign countries.
t2,Agriculture,http://www.usda.gov/,This line item reflects Department of Agriculture programs not separately broken out in other line items.
t2,Agriculture Loan Payments ( misc ),,"Various payments made to programs administered by Rural Development, a division on the Department of Agriculture. "
t2,Agriculture Loan Repayments ( misc ),,"Various repayments of loans made through programs administered by Rural Development, a division on the Department of Agriculture."
t2,Air Transport Security Fees,,Security fees collected from passengers and air carriers by the Department of Transportation and the Department of Homeland Security's Transportation Security Administration (TSA) to help finance the increased cost of securing the nation's transportation system.
t2,Animal Plant Health Inspection svcs,http://www.aphis.usda.gov/,This is the arm of the USDA that regulates farm animal safety.
t2,Asian Development Bank Payment,http://www.adb.org/,These are payments the Treasury makes to the Asian Development Bank.
t2,Asset Sale: U S Enrichment Corp,http://www.usec.com/,"This line item reflects the proceeds from the Treasury's 1998 privatization of the U.S. Enrichment Corporation, a former subsidiary of the U.S. government that enriched uranium for commercial use in nuclear power plants. "
t2,Bank Insurance Fund,,This line item is no longer in use. In 2006 it began to be reported as the Deposit Insurance Fund due to some internal reorganization of funds within the Federal Deposit Insurance Corporation.
t2,Capital Purchase Program ( TARP ),http://www.treasury.gov/initiatives/financial-stability/TARP-Programs/bank-investment-programs/cap/Pages/default.aspx,"This was the portion of the TARP bailout fund through which the Treasury made investments in financial institutions during the financial crisis. As these investments get repaid, the repayments are recorded under the separate 'TARP' line item."
t2,Centers for Disease Control,http://www.cdc.gov/,This is the arm of the government that responds to disease outbreaks.
t2,Change in Balance of Uncollected Funds,,This is money the Treasury hasn't yet collected from Federal agencies.
t2,Civil Service Retirement ( EFT ),http://www.opm.gov/retirement-services/csrs-information/,These are defined benefit payments made to Federal employees from the U.S. Government's Thrift Savings Plan.
t2,Commerce Programs,http://www.commerce.gov/,These are the oparations of the U.S. Department of Commerce.
t2,Commodity Credit Corporation programs,http://www.fsa.usda.gov/FSA/webapp?area=about&subject=landing&topic=sao-cc,The U.S. Commodity Credit Corporation is unit of the USDA that makes loans to farmers and other agrigultural producers.
t2,Commodity Futures Trading Commission,http://www.cftc.gov/index.htm,The CFTC regulates U.S. commodity futures and option markets.
t2,Comptroller of the Currency Assessment,http://www.occ.gov/index.html,These are fees the Office of the Comptroller of the Currency collects from its bank supervisory activities and deposites with the U.S. Treasury.
t2,Corps of Engineers,http://www.usace.army.mil/,This is the U.S. Army Corps of Engineers.
t2,Customs and Borders Protection ( DHS ),http://www.cbp.gov/,This is the DHS agency in charge of U.S. border security.
t2,Customs and Certain Excise Taxes,,These are import taxes collected by the U.S. government.
t2,Defense Energy Supply Center,http://www.energy.dla.mil/Pages/default.aspx,This is the arm of the Department of Devense that procures and manages fuel supply.
t2,Defense Finance Accounting Service,http://www.dfas.mil/,This is the accounting arm of the Department of Defense.
t2,Defense Vendor Payments ( EFT ),http://www.dfas.mil/contractorsvendors.html,These are payments to all the contractors hired to serve the Department of Defense.
t2,Deposit Insurance Fund,http://www.fdic.gov/deposit/deposits/dis/,"These are the operations of the fund that insures deposits at U.S. banks for up to $250,000."
t2,District of Columbia,http://dc.gov/,These are Treasury payments to the District of Columbia.
t2,Education Department programs,http://www.ed.gov/,These are the oparations of the U.S. Department of Education.
t2,Emergency Prep Response ( DHS ),,"Receipts from the Department of Homeland Security for the Federal Emergency Management Agency (FEMA), such as insurance receipts, among others."
t2,Energy Department programs,http://energy.gov/,These are the oparations of the U.S. Department of Energy.
t2,Environmental Protection Agency,http://www.epa.gov/,These are the oparations of the U.S. Environmental Protection Agency.
t2,Estate and Gift Taxes,http://www.irs.gov/Businesses/Small-Businesses-%26-Self-Employed/Estate-and-Gift-Taxes,These are IRS collections of estate and gift taxes.
t2,Export Import Bank,http://www.exim.gov/,This is the official export credit agency of the U.S. government.
t2,FHA Debentures,http://www.treasurydirect.gov/govt/apps/slgs/spin/spin_fha.htm,Debt issued by the Treasury on behalf of the Federal Housing Administration to make payments for insured mortgages.
t2,FSA Tobacco Assessments,http://www.fsa.usda.gov/FSA/webapp?area=home&subject=toba&topic=landing,These are fees Treasury collects once a quarter for the USDA's 'tobacco buy-out' program that is supposed to help tobacco producers and importers transition to a free market.
t2,FSLIC Resolution Fund,http://www.fdic.gov/about/strategic/report/2010highlight/chpt3-02.html,"This is a fund set up in 1989 to take over the assets of the Federal Savings and Loan Insurance Corporation (FSLIC) and wind down its operations. The FSLIC was an FDIC-like deposit insurer for the savings and loan industry, which experienced a wave of failures during the 1980s."
t2,FSLIC Resolution Funds,http://www.fdic.gov/about/strategic/report/2010highlight/chpt3-02.html,"This is a fund set up in 1989 to take over the assets of the Federal Savings and Loan Insurance Corporation (FSLIC) and wind down its operations. The FSLIC was an FDIC-like deposit insurer for the savings and loan industry, which experienced a wave of failures during the 1980s."
t2,FTDs Received,http://www.irs.gov/,"These are cash Federal tax deposits (FTDs) received by the Treasury, as calculated in Table IV."
t2,Farm Credit Insurance Corp,http://www.fcsic.gov/index.html,This is a government-run corporation that insures the debt of the Farm Credit System.
t2,Fed Crop Ins Corp Fund Premiums,http://www.fcsic.gov/index.html,These are insurance premiums collected by Treasury to fund the Farm Credit System Insurance Corporation's Crop Insurance Fund.
t2,Fed Highway Administration programs,http://www.fhwa.dot.gov/,This is the arm of the Department of Transportation that finances and maintains federal highways.
t2,Federal Aviation Administration,http://www.faa.gov/,This is the arm of the Department of Transportation that regulates air transportation.
t2,Federal Communications Commission,http://www.fcc.gov/,This is the government agency that regulates interstate communication.
t2,Federal Crop Ins Corp,http://www.rma.usda.gov/fcic/,These are insurance premiums collected by Treasury to fund the Federal Crop Insurance Corporation's Federal Crop Insurance Fund.
t2,Federal Employees Insurance,http://www.opm.gov/healthcare-insurance/healthcare/,Premiums received and payments made under the Federal Employees Health Benefits Program.
t2,Federal Finance Bank,http://www.treasury.gov/ffb/,"This is the off-balance sheet lending arm of the U.S. Treasury, created in 1973 by Congress to buy up the debt of Federal agencies so that their borrowing wouldn't compete with Treasury securities in the market for government-backed debt."
t2,Federal Financing Bank,http://www.treasury.gov/ffb/,"This is the off-balance sheet lending arm of the U.S. Treasury, created in 1973 by Congress to buy up the debt of Federal agencies so that their borrowing wouldn't compete with Treasury securities in the market for government-backed debt."
t2,Federal Housing Admin: Note Sales,http://portal.hud.gov/hudportal/HUD?src=/press/press_releases_media_advisories/2013/HUDNo.13-066,These are sales of pools of mortgages insured by the Federal Housing Administration that are headed for foreclosure.
t2,Federal Railroad Admin,http://www.fra.dot.gov/Page/P0001,This is the arm of the Department of Transportation that regulates railroads.
t2,Federal Reserve Earnings,http://www.federalreserve.gov/,This is interest the Treasury earns on the cash it holds on deposit with the Federal Reserve in its Federal Reserve Account.
t2,Federal Salaries ( EFT ),http://www.opm.gov/,"These are salary payments to Federal employees, except for military active duty personnel, whose payroll is processed separately."
t2,Federal Trade Commission,http://www.ftc.gov/,This is the govenment agency that reviews mergers and complaints of unfair competition by businesess.
t2,Federal Transit Admin,http://www.fta.dot.gov/,This is the arm of the Department of Transportation that finances public transit.
t2,Food Stamps,http://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap,"The Food Stamps line item and 'Food and Nutrition Service ( misc )' together add up to payments for the Supplemental Nutrition Assistance Program (SNAP), which helps low-income families buy food."
t2,Food and Nutrition Service ( misc ),http://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap,"The Food Stamps line item and 'Food and Nutrition Service ( misc )' together add up to payments for the Supplemental Nutrition Assistance Program (SNAP), which helps low-income families buy food."
t2,Foreign Deposits Military Sales,http://www.dsca.mil/programs/foreign-military-sales-fms,"These are government-to-government sales of military weapons between the U.S. and its allies. As of Oct. 3, 2016 this line item was renamed to ""Foreign Military Sales Program."""
t2,Foreign Military Sales Program,http://www.dsca.mil/programs/foreign-military-sales-fms,These are government-to-government sales of military weapons between the U.S. and its allies.
t2,GSA Programs,http://www.gsa.gov/portal/category/100000,"These are the operations of the U.S. General Services Administration, which is the real estate management arm of the Federal government."
t2,GSE Dividends,http://www.treasury.gov/Pages/default.aspx,These are dividends received from Fannie Mae and Freddie Mac under the Treasury's September 2008 bailout for the two Federally-backed mortgage lenders.
